id,active,name,sequence,description,department_id/id,company_id/id,address_id/id,color
hr_job_head_of_human_resourse,1,Head Of Human Resourse,1,"<p data-last-history-steps=""1270130943667562"">/</p>",,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_communication_executive,1,Communication Executive ,2,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_it_executive,1,IT Executive,3,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_erp_consultant,1,ERP Consultant,10,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_sales_manager,1,Sales Manager,10,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_software_engineer,1,Software Engineer,10,"
    <p>
        Perform assigned responsibilities, collaborate with team members, and adhere to company policies.
        Strong communication, problem-solving, and work ethic required.
        Adaptability, initiative, and willingness to learn are valued.
    </p>",,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_test_01,1,TEST-01,10,,,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_test_finance_manager,1,Test - Finance Manager,10,"
    <p>
        Perform assigned responsibilities, collaborate with team members, and adhere to company policies.
        Strong communication, problem-solving, and work ethic required.
        Adaptability, initiative, and willingness to learn are valued.
    </p>",Jinasena_MasterData_HR.hr_department_test_finance_accounting,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_test_hr_manager,1,Test - HR Manager,10,"
    <p>
        Perform assigned responsibilities, collaborate with team members, and adhere to company policies.
        Strong communication, problem-solving, and work ethic required.
        Adaptability, initiative, and willingness to learn are valued.
    </p>",Jinasena_MasterData_HR.hr_department_test_human_resources,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_test_operations_manager,1,Test - Operations Manager,10,"
    <p>
        Perform assigned responsibilities, collaborate with team members, and adhere to company policies.
        Strong communication, problem-solving, and work ethic required.
        Adaptability, initiative, and willingness to learn are valued.
    </p>",Jinasena_MasterData_HR.hr_department_test_operations,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_test_payroll_specialist,1,Test - Payroll Specialist,10,"
    <p>
        Perform assigned responsibilities, collaborate with team members, and adhere to company policies.
        Strong communication, problem-solving, and work ethic required.
        Adaptability, initiative, and willingness to learn are valued.
    </p>",Jinasena_MasterData_HR.hr_department_test_human_resources,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
hr_job_test_qa_engineer,1,Test - QA Engineer,10,"
    <p>
        Perform assigned responsibilities, collaborate with team members, and adhere to company policies.
        Strong communication, problem-solving, and work ethic required.
        Adaptability, initiative, and willingness to learn are valued.
    </p>",Jinasena_MasterData_HR.hr_department_test_engineering,seed_master_data_and_settings.company_jinasena_pvt_ltd,base.main_partner,0
